Trial	Proposer_ID	Offer	Anger
1	computer	2	1
2	PRP1	10	1
3	computer	9	1
4	PRP2	1	1
5	computer	3	1
6	computer	1	1
7	PRP3	1	1
8	PRP4	8	1
9	PRP3	4	1
10	PRP5	1	1
11	PRP6	2	1
12	PRP1	9	1
13	PRP2	4	1
14	PRP1	8	1
15	computer	8	1
16	PRP5	9	1
17	PRP2	2	1
18	computer	3	1
19	computer	4	1
20	PRP6	3	1
21	PRP3	2	1
22	computer	11	1
23	PRP5	4	1
24	PRP6	9	1
25	PRP1	11	1
26	PRP6	10	1
27	PRP2	3	1
28	computer	2	1
29	computer	8	1
30	PRP5	8	1
31	computer	11	1
32	PRP3	3	1
33	PRP4	9	1
34	PRP4	11	1
35	PRP4	10	1
36	computer	10	1
