Trial	Proposer_ID	Offer	Anger
1	PRP1	3	1
2	PRP2	2	2
3	PRP3	8	1
4	computer	9	1
5	computer	8	1
6	PRP4	8	1
7	computer	1	2
8	PRP2	3	2
9	PRP1	2	2
10	computer	9	1
11	computer	9	1
12	PRP2	4	1
13	PRP3	11	1
14	PRP5	10	1
15	computer	3	2
16	computer	2	2
17	PRP5	9	1
18	PRP5	4	1
19	PRP2	1	2
20	PRP6	2	2
21	PRP4	11	1
22	PRP5	1	2
23	PRP1	4	1
24	PRP4	9	1
25	computer	4	1
26	PRP3	9	1
27	computer	11	1
28	PRP6	9	1
29	PRP1	1	2
30	PRP4	10	1
31	PRP3	10	1
32	PRP6	1	2
33	computer	2	2
34	PRP6	11	1
35	computer	4	1
36	computer	10	1
