Trial	Proposer_ID	Offer	Anger
1	PRP1	2	1
2	computer	3	1
3	PRP2	11	1
4	PRP1	3	1
5	PRP2	8	1
6	PRP2	9	1
7	PRP3	4	3
8	PRP4	2	1
9	PRP5	8	1
10	PRP1	4	1
11	PRP6	3	1
12	PRP6	11	1
13	computer	2	1
14	PRP3	2	3
15	PRP3	1	3
16	PRP5	9	1
17	PRP6	4	1
18	PRP5	10	1
19	computer	8	1
20	PRP6	8	1
21	PRP4	9	1
22	computer	1	1
23	computer	4	1
24	computer	8	1
25	PRP4	3	1
26	computer	9	1
27	computer	1	1
28	computer	11	1
29	PRP5	11	1
30	computer	1	1
31	PRP4	10	1
32	computer	11	1
33	PRP3	3	3
34	computer	10	1
35	PRP1	1	1
36	PRP2	10	1
