IBI	days_since_instruction	weekly_in_lab_sessions_completed	session_start_time
892	0	2	18:19:29
946	0	2	18:19:29
894	0	2	18:19:29
894	0	2	18:19:29
929	0	2	18:19:29
991	0	2	18:19:29
1013	0	2	18:19:29
967	0	2	18:19:29
940	0	2	18:19:29
973	0	2	18:19:29
981	0	2	18:19:29
983	0	2	18:19:29
908	0	2	18:19:29
902	0	2	18:19:29
924	0	2	18:19:29
946	0	2	18:19:29
921	0	2	18:19:29
919	0	2	18:19:29
916	0	2	18:19:29
962	0	2	18:19:29
994	0	2	18:19:29
986	0	2	18:19:29
956	0	2	18:19:29
932	0	2	18:19:29
956	0	2	18:19:29
878	0	2	18:19:29
819	0	2	18:19:29
886	0	2	18:19:29
1021	0	2	18:19:29
1043	0	2	18:19:29
1005	0	2	18:19:29
986	0	2	18:19:29
978	0	2	18:19:29
981	0	2	18:19:29
927	0	2	18:19:29
959	0	2	18:19:29
978	0	2	18:19:29
991	0	2	18:19:29
911	0	2	18:19:29
962	0	2	18:19:29
986	0	2	18:19:29
967	0	2	18:19:29
932	0	2	18:19:29
954	0	2	18:19:29
946	0	2	18:19:29
989	0	2	18:19:29
951	0	2	18:19:29
997	0	2	18:19:29
975	0	2	18:19:29
902	0	2	18:19:29
911	0	2	18:19:29
849	0	2	18:19:29
900	0	2	18:19:29
862	0	2	18:19:29
822	0	2	18:19:29
811	0	2	18:19:29
805	0	2	18:19:29
1034	0	2	18:19:29
1121	0	2	18:19:29
719	0	2	18:19:29
989	0	2	18:19:29
973	0	2	18:19:29
978	0	2	18:19:29
902	0	2	18:19:29
892	0	2	18:19:29
911	0	2	18:19:29
954	0	2	18:19:29
919	0	2	18:19:29
919	0	2	18:19:29
867	0	2	18:19:29
916	0	2	18:19:29
1037	0	2	18:19:29
1037	0	2	18:19:29
989	0	2	18:19:29
1016	0	2	18:19:29
1005	0	2	18:19:29
962	0	2	18:19:29
1024	0	2	18:19:29
970	0	2	18:19:29
935	0	2	18:19:29
921	0	2	18:19:29
919	0	2	18:19:29
967	0	2	18:19:29
1040	0	2	18:19:29
1024	0	2	18:19:29
964	0	2	18:19:29
967	0	2	18:19:29
967	0	2	18:19:29
946	0	2	18:19:29
873	0	2	18:19:29
908	0	2	18:19:29
962	0	2	18:19:29
983	0	2	18:19:29
927	0	2	18:19:29
924	0	2	18:19:29
970	0	2	18:19:29
973	0	2	18:19:29
935	0	2	18:19:29
983	0	2	18:19:29
973	0	2	18:19:29
940	0	2	18:19:29
962	0	2	18:19:29
973	0	2	18:19:29
989	0	2	18:19:29
943	0	2	18:19:29
994	0	2	18:19:29
973	0	2	18:19:29
929	0	2	18:19:29
873	0	2	18:19:29
892	0	2	18:19:29
935	0	2	18:19:29
970	0	2	18:19:29
981	0	2	18:19:29
999	0	2	18:19:29
1008	0	2	18:19:29
973	0	2	18:19:29
921	0	2	18:19:29
937	0	2	18:19:29
956	0	2	18:19:29
1010	0	2	18:19:29
1013	0	2	18:19:29
946	0	2	18:19:29
967	0	2	18:19:29
962	0	2	18:19:29
913	0	2	18:19:29
894	0	2	18:19:29
908	0	2	18:19:29
911	0	2	18:19:29
827	0	2	18:19:29
894	0	2	18:19:29
978	0	2	18:19:29
932	0	2	18:19:29
865	0	2	18:19:29
911	0	2	18:19:29
830	0	2	18:19:29
808	0	2	18:19:29
840	0	2	18:19:29
975	0	2	18:19:29
894	0	2	18:19:29
876	0	2	18:19:29
908	0	2	18:19:29
921	0	2	18:19:29
911	0	2	18:19:29
959	0	2	18:19:29
967	0	2	18:19:29
975	0	2	18:19:29
991	0	2	18:19:29
956	0	2	18:19:29
935	0	2	18:19:29
951	0	2	18:19:29
994	0	2	18:19:29
967	0	2	18:19:29
973	0	2	18:19:29
964	0	2	18:19:29
983	0	2	18:19:29
970	0	2	18:19:29
913	0	2	18:19:29
908	0	2	18:19:29
913	0	2	18:19:29
940	0	2	18:19:29
1029	0	2	18:19:29
1043	0	2	18:19:29
973	0	2	18:19:29
940	0	2	18:19:29
940	0	2	18:19:29
948	0	2	18:19:29
973	0	2	18:19:29
905	0	2	18:19:29
943	0	2	18:19:29
964	0	2	18:19:29
937	0	2	18:19:29
908	0	2	18:19:29
892	0	2	18:19:29
902	0	2	18:19:29
924	0	2	18:19:29
970	0	2	18:19:29
991	0	2	18:19:29
948	0	2	18:19:29
908	0	2	18:19:29
913	0	2	18:19:29
897	0	2	18:19:29
894	0	2	18:19:29
886	0	2	18:19:29
859	0	2	18:19:29
886	0	2	18:19:29
902	0	2	18:19:29
884	0	2	18:19:29
935	0	2	18:19:29
935	0	2	18:19:29
954	0	2	18:19:29
951	0	2	18:19:29
978	0	2	18:19:29
986	0	2	18:19:29
932	0	2	18:19:29
951	0	2	18:19:29
962	0	2	18:19:29
967	0	2	18:19:29
919	0	2	18:19:29
870	0	2	18:19:29
911	0	2	18:19:29
975	0	2	18:19:29
975	0	2	18:19:29
1005	0	2	18:19:29
956	0	2	18:19:29
994	0	2	18:19:29
970	0	2	18:19:29
919	0	2	18:19:29
975	0	2	18:19:29
978	0	2	18:19:29
940	0	2	18:19:29
954	0	2	18:19:29
948	0	2	18:19:29
975	0	2	18:19:29
919	0	2	18:19:29
900	0	2	18:19:29
994	0	2	18:19:29
921	0	2	18:19:29
840	0	2	18:19:29
843	0	2	18:19:29
911	0	2	18:19:29
937	0	2	18:19:29
824	0	2	18:19:29
762	0	2	18:19:29
768	0	2	18:19:29
832	0	2	18:19:29
999	0	2	18:19:29
924	0	2	18:19:29
924	0	2	18:19:29
1016	0	2	18:19:29
1002	0	2	18:19:29
964	0	2	18:19:29
940	0	2	18:19:29
994	0	2	18:19:29
991	0	2	18:19:29
946	0	2	18:19:29
951	0	2	18:19:29
1008	0	2	18:19:29
1032	0	2	18:19:29
986	0	2	18:19:29
989	0	2	18:19:29
999	0	2	18:19:29
1037	0	2	18:19:29
981	0	2	18:19:29
937	0	2	18:19:29
1010	0	2	18:19:29
1005	0	2	18:19:29
1010	0	2	18:19:29
964	0	2	18:19:29
1008	0	2	18:19:29
1024	0	2	18:19:29
970	0	2	18:19:29
1016	0	2	18:19:29
1037	0	2	18:19:29
954	0	2	18:19:29
929	0	2	18:19:29
927	0	2	18:19:29
897	0	2	18:19:29
889	0	2	18:19:29
943	0	2	18:19:29
1010	0	2	18:19:29
1018	0	2	18:19:29
991	0	2	18:19:29
921	0	2	18:19:29
948	0	2	18:19:29
967	0	2	18:19:29
989	0	2	18:19:29
983	0	2	18:19:29
900	0	2	18:19:29
878	0	2	18:19:29
884	0	2	18:19:29
870	0	2	18:19:29
921	0	2	18:19:29
870	0	2	18:19:29
973	0	2	18:19:29
1018	0	2	18:19:29
994	0	2	18:19:29
1013	0	2	18:19:29
1272	0	2	18:19:29
574	0	2	18:19:29
905	0	2	18:19:29
857	0	2	18:19:29
827	0	2	18:19:29
940	0	2	18:19:29
951	0	2	18:19:29
927	0	2	18:19:29
935	0	2	18:19:29
1013	0	2	18:19:29
1026	0	2	18:19:29
999	0	2	18:19:29
991	0	2	18:19:29
1010	0	2	18:19:29
967	0	2	18:19:29
967	0	2	18:19:29
962	0	2	18:19:29
932	0	2	18:19:29
865	0	2	18:19:29
830	0	2	18:19:29
805	0	2	18:19:29
986	0	2	18:19:29
1024	0	2	18:19:29
1048	0	2	18:19:29
1008	0	2	18:19:29
981	0	2	18:19:29
967	0	2	18:19:29
959	0	2	18:19:29
954	0	2	18:19:29
598	0	2	18:19:29
948	0	2	18:19:29
975	0	2	18:19:29
973	0	2	18:19:29
959	0	2	18:19:29
981	0	2	18:19:29
937	0	2	18:19:29
927	0	2	18:19:29
983	0	2	18:19:29
1026	0	2	18:19:29
999	0	2	18:19:29
943	0	2	18:19:29
978	0	2	18:19:29
967	0	2	18:19:29
1005	0	2	18:19:29
954	0	2	18:19:29
919	0	2	18:19:29
959	0	2	18:19:29
986	0	2	18:19:29
970	0	2	18:19:29
948	0	2	18:19:29
1293	0	2	18:19:29
501	0	2	18:19:29
935	0	2	18:19:29
840	0	2	18:19:29
854	0	2	18:19:29
946	0	2	18:19:29
954	0	2	18:19:29
876	0	2	18:19:29
937	0	2	18:19:29
929	0	2	18:19:29
956	0	2	18:19:29
916	0	2	18:19:29
981	0	2	18:19:29
948	0	2	18:19:29
886	0	2	18:19:29
854	0	2	18:19:29
846	0	2	18:19:29
902	0	2	18:19:29
865	0	2	18:19:29
919	0	2	18:19:29
935	0	2	18:19:29
954	0	2	18:19:29
921	0	2	18:19:29
973	0	2	18:19:29
994	0	2	18:19:29
946	0	2	18:19:29
940	0	2	18:19:29
940	0	2	18:19:29
924	0	2	18:19:29
905	0	2	18:19:29
932	0	2	18:19:29
951	0	2	18:19:29
919	0	2	18:19:29
959	0	2	18:19:29
935	0	2	18:19:29
946	0	2	18:19:29
870	0	2	18:19:29
889	0	2	18:19:29
919	0	2	18:19:29
932	0	2	18:19:29
932	0	2	18:19:29
921	0	2	18:19:29
954	0	2	18:19:29
959	0	2	18:19:29
983	0	2	18:19:29
997	0	2	18:19:29
1034	0	2	18:19:29
1005	0	2	18:19:29
1026	0	2	18:19:29
1043	0	2	18:19:29
999	0	2	18:19:29
924	0	2	18:19:29
959	0	2	18:19:29
916	0	2	18:19:29
956	0	2	18:19:29
981	0	2	18:19:29
962	0	2	18:19:29
983	0	2	18:19:29
1018	0	2	18:19:29
991	0	2	18:19:29
970	0	2	18:19:29
994	0	2	18:19:29
986	0	2	18:19:29
964	0	2	18:19:29
978	0	2	18:19:29
1008	0	2	18:19:29
978	0	2	18:19:29
983	0	2	18:19:29
962	0	2	18:19:29
991	0	2	18:19:29
970	0	2	18:19:29
989	0	2	18:19:29
1048	0	2	18:19:29
999	0	2	18:19:29
978	0	2	18:19:29
1002	0	2	18:19:29
1037	0	2	18:19:29
973	0	2	18:19:29
935	0	2	18:19:29
973	0	2	18:19:29
1026	0	2	18:19:29
1040	0	2	18:19:29
994	0	2	18:19:29
962	0	2	18:19:29
973	0	2	18:19:29
983	0	2	18:19:29
964	0	2	18:19:29
943	0	2	18:19:29
924	0	2	18:19:29
989	0	2	18:19:29
997	0	2	18:19:29
970	0	2	18:19:29
935	0	2	18:19:29
956	0	2	18:19:29
1013	0	2	18:19:29
1021	0	2	18:19:29
999	0	2	18:19:29
991	0	2	18:19:29
1005	0	2	18:19:29
994	0	2	18:19:29
935	0	2	18:19:29
991	0	2	18:19:29
978	0	2	18:19:29
935	0	2	18:19:29
905	0	2	18:19:29
948	0	2	18:19:29
991	0	2	18:19:29
991	0	2	18:19:29
946	0	2	18:19:29
986	0	2	18:19:29
1005	0	2	18:19:29
