Trial	Proposer_ID	Offer	Anger
1	computer	10	2
2	computer	11	1
3	PRP1	3	2
4	PRP2	4	2
5	PRP3	11	1
6	computer	2	4
7	PRP3	9	1
8	PRP3	8	1
9	PRP1	4	3
10	computer	3	4
11	PRP2	9	1
12	PRP4	2	2
13	PRP4	4	2
14	PRP5	3	2
15	PRP4	3	2
16	PRP5	11	1
17	PRP4	1	3
18	PRP6	8	1
19	PRP1	2	2
20	computer	2	4
21	PPR6	11	1
22	PRP1	1	4
23	computer	9	1
24	computer	8	2
25	computer	4	4
26	PRP3	10	1
27	computer	10	2
28	PRP6	10	1
29	computer	1	4
30	PRP5	1	3
31	computer	10	2
32	PRP2	11	1
33	PRP6	9	1
34	PRP5	10	1
35	PRP2	3	2
36	computer	2	4
